Name,Birthday,Height,Weight,Season,Team Name,Team Short Name,Preferred Foot,Appearances in Starting XI,Goals,Nationality,Transfer Value,Wage,PlayerPhoto,ClubLogo
Angelo Obinze Ogbonna, 23 May 1988,190 cm,190 lbs,2015/2016,West Ham United,WHU,Left,27,0,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Anthony Modeste, 14 April 1988,187 cm,185 lbs,2011/2012,Blackburn Rovers,BLB,Right,3,0,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Anthony Reveillere, 10 November 1979,180 cm,170 lbs,2014/2015,Sunderland,SUN,Right,15,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Antolin Alcaraz, 30 July 1982,187 cm,176 lbs,2011/2012,Wigan Athletic,WIG,Right,25,2,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Antolin Alcaraz, 30 July 1982,187 cm,176 lbs,2012/2013,Wigan Athletic,WIG,Right,8,0,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Antolin Alcaraz, 30 July 1982,187 cm,176 lbs,2013/2014,Everton,EVE,Right,5,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Antolin Alcaraz, 30 July 1982,187 cm,176 lbs,2014/2015,Everton,EVE,Right,6,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Armand Traore, 8 October 1989,182 cm,181 lbs,2011/2012,Arsenal,ARS,Left,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Armand Traore, 8 October 1989,182 cm,181 lbs,2011/2012,Queens Park Rangers,QPR,Left,18,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Armand Traore, 8 October 1989,182 cm,181 lbs,2012/2013,Queens Park Rangers,QPR,Left,24,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Armand Traore, 8 October 1989,182 cm,181 lbs,2014/2015,Queens Park Rangers,QPR,Left,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Arouna Kone, 11 November 1983,182 cm,179 lbs,2012/2013,Wigan Athletic,WIG,Right,32,11,,,,,https://cdn.sofifa.org/1x/18/teams/1917.png
Arouna Kone, 11 November 1983,182 cm,179 lbs,2014/2015,Everton,EVE,Right,7,1,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Arouna Kone, 11 November 1983,182 cm,179 lbs,2015/2016,Everton,EVE,Right,16,5,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Ashkan Dejagah, 5 July 1986,180 cm,172 lbs,2012/2013,Fulham,FUL,Right,13,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Ashkan Dejagah, 5 July 1986,180 cm,172 lbs,2013/2014,Fulham,FUL,Right,13,5,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Ashley R. Westwood, 1 April 1990,170 cm,148 lbs,2012/2013,Aston Villa,AVL,Right,28,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Ashley R. Westwood, 1 April 1990,170 cm,148 lbs,2013/2014,Aston Villa,AVL,Right,35,3,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Ashley R. Westwood, 1 April 1990,170 cm,148 lbs,2014/2015,Aston Villa,AVL,Right,25,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Ashley R. Westwood, 1 April 1990,170 cm,148 lbs,2015/2016,Aston Villa,AVL,Right,31,2,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Asmir Begovic, 20 June 1987,200 cm,183 lbs,2015/2016,Chelsea,CHE,Right,15,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Asmir Begovic, 20 June 1987,200 cm,183 lbs,2011/2012,Stoke City,STK,Right,22,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Asmir Begovic, 20 June 1987,200 cm,183 lbs,2012/2013,Stoke City,STK,Right,38,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Asmir Begovic, 20 June 1987,200 cm,183 lbs,2013/2014,Stoke City,STK,Right,32,1,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Asmir Begovic, 20 June 1987,200 cm,183 lbs,2014/2015,Stoke City,STK,Right,35,0,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Ayoze Perez, 23 July 1993,177 cm,146 lbs,2014/2015,Newcastle United,NEW,Right,25,7,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Ayoze Perez, 23 July 1993,177 cm,146 lbs,2015/2016,Newcastle United,NEW,Right,22,6,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Bacary Sagna, 14 February 1983,175 cm,159 lbs,2014/2015,Manchester City,MCI,Right,8,0,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Bacary Sagna, 14 February 1983,175 cm,159 lbs,2015/2016,Manchester City,MCI,Right,27,0,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Bacary Sagna, 14 February 1983,175 cm,159 lbs,2011/2012,Arsenal,ARS,Right,20,1,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Bacary Sagna, 14 February 1983,175 cm,159 lbs,2012/2013,Arsenal,ARS,Right,25,0,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Bacary Sagna, 14 February 1983,175 cm,159 lbs,2013/2014,Arsenal,ARS,Right,34,1,,,,,https://cdn.sofifa.org/1x/18/teams/1.png
Baye Oumar Niasse, 18 April 1990,182 cm,181 lbs,2015/2016,Everton,EVE,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/7.png
Bertrand Traore, 6 September 1995,180 cm,159 lbs,2015/2016,Chelsea,CHE,Left,4,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Bobby Zamora, 16 January 1981,185 cm,192 lbs,2011/2012,Fulham,FUL,Left,14,7,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Bobby Zamora, 16 January 1981,185 cm,192 lbs,2011/2012,Queens Park Rangers,QPR,Left,14,7,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Bobby Zamora, 16 January 1981,185 cm,192 lbs,2012/2013,Queens Park Rangers,QPR,Left,16,4,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Bobby Zamora, 16 January 1981,185 cm,192 lbs,2014/2015,Queens Park Rangers,QPR,Left,19,3,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Bojan Krkic, 28 August 1990,170 cm,143 lbs,2014/2015,Stoke City,STK,Right,14,4,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Bojan Krkic, 28 August 1990,170 cm,143 lbs,2015/2016,Stoke City,STK,Right,22,7,,,,,https://cdn.sofifa.org/1x/18/teams/1806.png
Bo-Kyung Kim, 6 October 1989,177 cm,148 lbs,2013/2014,Cardiff City,CAR,Left,21,1,,,,,https://cdn.sofifa.org/1x/18/teams/1961.png
Brad Friedel, 18 May 1971,187 cm,203 lbs,2011/2012,Tottenham Hotspur,TOT,Right,38,0,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Brad Friedel, 18 May 1971,187 cm,203 lbs,2012/2013,Tottenham Hotspur,TOT,Right,11,0,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Brad Friedel, 18 May 1971,187 cm,203 lbs,2013/2014,Tottenham Hotspur,TOT,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/18.png
Bradley Orr, 1 November 1982,182 cm,165 lbs,2011/2012,Blackburn Rovers,BLB,Right,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Bradley Orr, 1 November 1982,182 cm,165 lbs,2011/2012,Queens Park Rangers,QPR,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Branislav Ivanovic, 22 February 1984,185 cm,201 lbs,2011/2012,Chelsea,CHE,Right,26,3,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Branislav Ivanovic, 22 February 1984,185 cm,201 lbs,2012/2013,Chelsea,CHE,Right,33,5,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Branislav Ivanovic, 22 February 1984,185 cm,201 lbs,2013/2014,Chelsea,CHE,Right,36,3,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Branislav Ivanovic, 22 February 1984,185 cm,201 lbs,2014/2015,Chelsea,CHE,Right,38,4,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Branislav Ivanovic, 22 February 1984,185 cm,201 lbs,2015/2016,Chelsea,CHE,Right,33,2,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Brede Hangeland, 20 June 1981,195 cm,203 lbs,2014/2015,Crystal Palace,CRY,Right,12,2,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Brede Hangeland, 20 June 1981,195 cm,203 lbs,2015/2016,Crystal Palace,CRY,Right,7,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Brede Hangeland, 20 June 1981,195 cm,203 lbs,2011/2012,Fulham,FUL,Right,38,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Brede Hangeland, 20 June 1981,195 cm,203 lbs,2012/2013,Fulham,FUL,Right,35,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Brede Hangeland, 20 June 1981,195 cm,203 lbs,2013/2014,Fulham,FUL,Right,23,0,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Brett Emerton, 22 February 1979,185 cm,187 lbs,2011/2012,Blackburn Rovers,BLB,Right,2,0,,,,,https://cdn.sofifa.org/1x/18/teams/3.png
Brown Ideye, 10 October 1988,180 cm,172 lbs,2014/2015,West Bromwich Albion,WBA,Right,13,4,,,,,https://cdn.sofifa.org/1x/18/teams/109.png
Bruno Perone, 6 July 1987,190 cm,187 lbs,2011/2012,Queens Park Rangers,QPR,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
Bryan Ruiz, 18 August 1985,187 cm,172 lbs,2011/2012,Fulham,FUL,Left,17,2,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Bryan Ruiz, 18 August 1985,187 cm,172 lbs,2012/2013,Fulham,FUL,Left,26,4,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Bryan Ruiz, 18 August 1985,187 cm,172 lbs,2013/2014,Fulham,FUL,Left,8,1,,,,,https://cdn.sofifa.org/1x/18/teams/144.png
Cabral, 22 October 1988,180 cm,176 lbs,2013/2014,Sunderland,SUN,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Cala, 26 November 1989,187 cm,159 lbs,2013/2014,Cardiff City,CAR,Right,7,2,,,,,https://cdn.sofifa.org/1x/18/teams/1961.png
Carles Gil, 2 November 1992,170 cm,143 lbs,2014/2015,Aston Villa,AVL,Left,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Carles Gil, 2 November 1992,170 cm,143 lbs,2015/2016,Aston Villa,AVL,Left,17,2,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Carlos Cuellar, 23 August 1981,190 cm,185 lbs,2012/2013,Sunderland,SUN,Right,26,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Carlos Cuellar, 23 August 1981,190 cm,185 lbs,2013/2014,Sunderland,SUN,Right,4,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Carlos Cuellar, 23 August 1981,190 cm,185 lbs,2011/2012,Aston Villa,AVL,Right,17,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Carlos Sanchez, 6 February 1986,182 cm,181 lbs,2014/2015,Aston Villa,AVL,Left,20,1,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Carlos Sanchez, 6 February 1986,182 cm,181 lbs,2015/2016,Aston Villa,AVL,Left,16,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Carlos Tevez, 5 February 1984,172 cm,157 lbs,2011/2012,Manchester City,MCI,Right,7,4,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Carlos Tevez, 5 February 1984,172 cm,157 lbs,2012/2013,Manchester City,MCI,Right,28,11,,,,,https://cdn.sofifa.org/1x/18/teams/10.png
Carlton Cole, 12 November 1983,190 cm,194 lbs,2012/2013,West Ham United,WHU,Right,14,2,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Carlton Cole, 12 November 1983,190 cm,194 lbs,2013/2014,West Ham United,WHU,Right,9,5,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Carlton Cole, 12 November 1983,190 cm,194 lbs,2014/2015,West Ham United,WHU,Right,8,2,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Cedric Soares, 31 August 1991,172 cm,148 lbs,2015/2016,Southampton,SOU,Right,23,0,,,,,https://cdn.sofifa.org/1x/18/teams/17.png
Cesar Azpilicueta, 28 August 1989,177 cm,165 lbs,2012/2013,Chelsea,CHE,Right,24,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Cesar Azpilicueta, 28 August 1989,177 cm,165 lbs,2013/2014,Chelsea,CHE,Right,26,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Cesar Azpilicueta, 28 August 1989,177 cm,165 lbs,2014/2015,Chelsea,CHE,Right,29,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Cesar Azpilicueta, 28 August 1989,177 cm,165 lbs,2015/2016,Chelsea,CHE,Right,36,0,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Cesc Fabregas, 4 May 1987,175 cm,163 lbs,2014/2015,Chelsea,CHE,Right,33,3,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Cesc Fabregas, 4 May 1987,175 cm,163 lbs,2015/2016,Chelsea,CHE,Right,33,5,,,,,https://cdn.sofifa.org/1x/18/teams/5.png
Charalampos Mavrias, 21 February 1994,177 cm,154 lbs,2013/2014,Sunderland,SUN,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/106.png
Charles N'Zogbia, 28 May 1986,170 cm,154 lbs,2011/2012,Aston Villa,AVL,Left,24,2,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Charles N'Zogbia, 28 May 1986,170 cm,154 lbs,2012/2013,Aston Villa,AVL,Left,11,2,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Charles N'Zogbia, 28 May 1986,170 cm,154 lbs,2014/2015,Aston Villa,AVL,Left,19,0,,,,,https://cdn.sofifa.org/1x/18/teams/2.png
Cheik Tiote, 21 June 1986,180 cm,190 lbs,2011/2012,Newcastle United,NEW,Right,24,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Cheik Tiote, 21 June 1986,180 cm,190 lbs,2012/2013,Newcastle United,NEW,Right,22,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Cheik Tiote, 21 June 1986,180 cm,190 lbs,2013/2014,Newcastle United,NEW,Right,31,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Cheik Tiote, 21 June 1986,180 cm,190 lbs,2014/2015,Newcastle United,NEW,Right,10,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Cheik Tiote, 21 June 1986,180 cm,190 lbs,2015/2016,Newcastle United,NEW,Right,16,0,,,,,https://cdn.sofifa.org/1x/18/teams/13.png
Cheikhou Kouyate, 21 December 1989,193 cm,172 lbs,2014/2015,West Ham United,WHU,Right,30,4,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Cheikhou Kouyate, 21 December 1989,193 cm,172 lbs,2015/2016,West Ham United,WHU,Right,34,5,,,,,https://cdn.sofifa.org/1x/18/teams/19.png
Chico, 6 March 1987,187 cm,165 lbs,2012/2013,Swansea City,SWA,Right,26,0,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Chico, 6 March 1987,187 cm,165 lbs,2013/2014,Swansea City,SWA,Right,30,3,,,,,https://cdn.sofifa.org/1x/18/teams/1960.png
Chris Eagles, 19 November 1985,182 cm,148 lbs,2011/2012,Bolton Wanderers,BOL,Right,26,4,,,,,https://cdn.sofifa.org/1x/18/teams/4.png
Chung-Yong Lee, 2 July 1988,180 cm,152 lbs,2014/2015,Crystal Palace,CRY,Right,1,0,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Chung-Yong Lee, 2 July 1988,180 cm,152 lbs,2015/2016,Crystal Palace,CRY,Right,4,1,,,,,https://cdn.sofifa.org/1x/18/teams/1799.png
Clint Hill, 19 October 1978,182 cm,161 lbs,2011/2012,Queens Park Rangers,QPR,Left,19,0,,,,,https://cdn.sofifa.org/1x/18/teams/15.png
